file,inputTokens,outputTokens,totalTokens,time
/Users/caio/Downloads/doc4me/pt-br-docs/src/extension.md,455,99,554,2023-11-09T13:36:39.408Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/myConfig.md,1134,138,1272,2023-11-09T13:36:43.758Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/utils.md,855,119,974,2023-11-09T13:36:47.558Z
/Users/caio/Downloads/doc4me/pt-br-docs/webpack.config.md,1066,80,1146,2023-11-09T13:36:50.797Z
projectSummary.md,1399,1148,2547,2023-11-09T13:37:21.957Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/ai.md,753,143,896,2023-11-09T13:40:19.847Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/explainer.md,1183,223,1406,2023-11-09T13:40:27.175Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/ai/summarizer.md,913,115,1028,2023-11-09T13:40:31.118Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/billCalculator.md,887,170,1057,2023-11-09T13:40:36.606Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/commands.md,773,90,863,2023-11-09T13:40:39.730Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/extension.md,455,99,554,2023-11-09T13:40:43.357Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/myConfig.md,1134,141,1275,2023-11-09T13:40:48.391Z
/Users/caio/Downloads/doc4me/pt-br-docs/src/utils.md,855,118,973,2023-11-09T13:40:52.628Z
/Users/caio/Downloads/doc4me/pt-br-docs/webpack.config.md,1066,80,1146,2023-11-09T13:40:55.464Z
projectSummary.md,1403,1181,2584,2023-11-09T13:41:31.527Z
